單詞,情緒分數
部分,0.540801
，,0.009304
卧蚕,0.000265
画,0.999919
宽,0.012753
一点,0.011403
"
",0.037232
③,0.022545
 “W”,0.01393
腮红,0.2295
，,0.009304
注意,0.155885
最,0.953145
重,4e-05
的,0.368506
颜色,0.173316
在,0.566759
两颊,0.006098
。,0.036835
其次,0.023827
鼻梁,5.1e-05
，,0.009304
鼻梁,5.1e-05
腮红,0.2295
不能,5.3e-05
画,0.999919
太,3.9e-05
宽,0.012753
。,0.036835
最,0.953145
淡,0.174879
的,0.368506
是,0.001972
面,0.011088
中,0.999902
衔接,0.003591
部分,0.540801
，,0.009304
注意,0.155885
避开,0.759894
眼下,0.9999
留白,0.058687
"
",0.037232
#,0.014012
今日,0.99994
妆容,0.982621
#,0.014012
妆容,0.982621
分享,0.999963
#,0.014012
日常,0.999962
眼妆,0.119996
怎么,0.00234
画,0.999919
精简,0.999962
化妆,0.87592
丨clean,0.64074
 makeup,0.789017
我,0.000628
悟,0.999962
了,0.103906
❕,0.033441
精髓,0.999962
都,0.299263
在,0.566759
这,0.010469
从,0.471119
clean,0.99396
 ,0.037232
fit,0.992082
的,0.368506
风格,0.996497
开始,0.99992
后,0.03447
🤍,0.033441
精简风,0.999962
逐渐,0.99995
延伸,0.995166
至,0.972412
了,0.103906
妆容,0.982621
上,0.226084
"
",0.037232
减少,0.999639
繁冗,0.005665
的,0.368506
化妆,0.87592
步骤,0.999815
💄,0.033441
弱化,0.001629
了,0.103906
妆容,0.982621
的,0.368506
色彩,0.994207
对比,0.998271
🎨,0.033441
"
",0.037232
给,0.86028
妆容,0.982621
做,0.999961
个,0.002308
减法,0.998566
➖,0.033441
打造,0.999836
无,0.006982
负担,0.983121
的,0.368506
清,0.994342
透冷感,0.992099
🧊,0.033441
"
",0.037232
小姐姐,0.999963
今天,0.757372
阅,0.999962
书,0.999211
无数,0.034254
🧐,0.033441
（,0.032379
小红书,0.999963
怎么,0.00234
不,0.002385
算,0.96773
书,0.999211
呢,0.995133
📕,0.033441
）,0.055182
